Time,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,A1,A2,A3,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.6960000000000001,10.939087131671723,12.288811902791174,12.497562347412442,12.434114100174153,10.154577949631868,12.198849827429452,13.155195219873779,13.722211883943238,9.568913198666595,6.660447378120969,3.27625316504296,-5.966831573827968,-2.7156748906030517,-0.3929568742657765,-3.920056170558891,100.61073783531805,115.81124484178518,15.200507006492574,-158.5163602563194,93.01048433209624,123.41149834505579,4.913927448193167,143.63807202177642,144.51714580832993,151.09807978741065,134.2291610671342,125.81370730024197
0.6980000000000001,8.19582724211414,8.945676503224398,9.06420849508392,8.383829646593252,7.781351779087855,10.146947108560552,11.222322342767953,12.05304717031714,8.433521054435168,5.528649310286237,2.690748766401035,-6.472903569370318,-3.989189155864787,-0.9218826685534898,-3.699732585015919,92.34494978713938,105.18360509342466,12.83865530631072,-144.93675233396067,85.9256221340079,111.6029327466053,4.646716719054829,124.79813349484148,126.00686934306596,133.86871058246433,119.36594534094387,113.03072529848457
0.7000000000000001,5.385327407356176,5.535331603974102,5.653518993774596,4.535916576880779,5.273374212861895,7.93786294986573,9.15469608703444,10.406533318477273,7.275727113611166,4.306960140469656,2.082843749549152,-6.5967865545560995,-4.858104652288887,-1.3608759178625593,-3.456898148219514,83.52924884287147,94.50596212158356,10.97671327873755,-130.78222990377242,78.04089220352594,99.99431876097862,4.4595050871065,106.89834478919829,108.2266427394863,117.06941275202516,104.85288182080241,100.41809785162454
0.7020000000000001,2.574827572597055,2.124986704722403,2.242829492463869,0.688003507166723,2.765396646634904,5.728778791169999,7.0870698313000755,8.760019466636727,6.117933172786687,3.085270970652573,1.474938732697019,-6.720669539741932,-5.727020148713343,-1.7998691671718097,-3.214063711423009,73.39363456753539,83.30831553706383,9.914680969553926,-115.04779233617668,68.43629408278106,88.26565602186805,4.50229316451522,90.06870564126281,91.20646542394654,100.75018538810919,90.70996951514839,88.04582433606438
0.704,-0.2356722621620655,-1.2853581945292945,-1.1678600088468567,-3.159909562547332,0.25741908040791195,3.5196946324742697,5.019443575565711,7.113505614796181,4.9601392319622075,1.8635818008354894,0.8670337158448858,-6.8445525249277654,-6.5959356451378,-2.2388624164810595,-2.971229274626504,62.50810652163868,72.05066494577692,9.542558424163749,-98.53343899463671,57.73682730957883,76.82194415788705,4.625081562980302,74.23921577656638,74.91633681514992,84.86102757665284,76.92720742701547,75.93390412021262
0.706,-2.849673469388599,-4.401055768734846,-4.3166530130411545,-6.517162746898153,-1.9887697159942053,1.408951985705302,3.115492347262309,5.663463677511087,3.8024538398675602,0.6092146311650033,0.29194215078442715,-6.804806253055763,-6.810771208502916,-2.5143037739486016,-2.761049702184656,51.902664261221865,61.233009948794404,9.330345687598106,-82.51916923572887,47.23749141744422,65.89818279262272,5.157870893687335,59.52987490979604,59.50625632423649,69.5519383976227,63.59459455412242,64.29233656453457
0.708,-5.293436701577026,-7.261483549984446,-7.238550135576783,-9.44932927102132,-4.008155961037535,-0.6165917970171413,1.3533421360147324,4.383636572288416,2.6448624897314588,-0.6734633546849551,-0.25472124835371224,-6.623298617612758,-6.458939998076456,-2.64805079374728,-2.57916090231827,42.56730733790545,51.12535014239931,8.558042804519491,-68.1299824092151,38.288285935666494,55.404371544689354,5.730661767262363,45.68068274483592,44.85622335487334,54.862916925125745,50.72212988896324,52.94112102160404
0.71,-7.737199933764447,-10.12191133123287,-10.16044725811121,-12.381495795143278,-6.027542206080034,-2.642135579738752,-0.4088080752321197,3.1038094670662715,1.4872711395958338,-1.9561413405343862,-0.8013846474916267,-6.441790982169828,-6.107108787650141,-2.7817978135459027,-2.3972721024519594,34.29203529893721,41.67768511813765,7.385649819226151,-55.13087785811626,30.59921038934431,45.37051002778206,6.713454793726234,33.0816389748099,31.33623730334582,41.08396222752058,38.699812418898006,42.17025683615513
0.712,-10.180963165952873,-12.982339112482467,-13.082344380646838,-15.313662319266443,-8.046928451123364,-4.667679362461195,-2.1709582864796957,1.8239823618436004,0.32967978945973275,-3.2388193263843448,-1.3480480466297662,-6.2602833467268235,-5.755277577223681,-2.915544833344581,-2.2153833025855736,26.15684768723989,32.56001446287058,6.4031667756564685,-42.43685491878561,22.955264299431235,35.76159785073118,8.17625058244913,21.952743282125528,19.076297558649557,28.405073367528967,27.637641126244098,32.2297433451346
0.714,-12.275476836254711,-15.305555616120918,-15.520762008454192,-17.655088611448946,-9.663465530924528,-6.3440119186890955,-3.6108064718401125,0.812839138225367,-0.6398889487335997,-4.33354241725237,-1.6798398811615898,-6.105529848887501,-5.430283170304326,-3.0224145759556005,-1.9797595184963495,17.831744041459288,23.912337758826887,6.080593717393473,-29.787912920983366,14.791447182781527,26.952634617557038,9.919049742105301,12.063995338519053,7.886403502583474,16.65624940234824,17.32561498836778,22.91957987775465
0.716,-13.925251592426648,-16.944680323128857,-17.34351058766442,-19.244258643473714,-10.767009267683559,-7.575654377571288,-4.640231084323917,0.14384144831567536,-1.3700272583942776,-5.188921311242575,-1.738011483202611,-5.984845416280708,-5.139463096449104,-3.095058445793422,-1.6757089097458673,9.946723896012582,16.304654583656003,6.3579306876694,-18.099051187951417,6.767758552196261,19.483619927525176,11.731852880627942,3.2653948051017303,-2.3834454901562987,5.747489383764206,7.653732977776404,14.189765755546123
0.718,-15.575026348598584,-18.583805030136794,-19.166259166874646,-20.833428675498478,-11.870553004442591,-8.807296836453482,-5.669655696807721,-0.5251562415940165,-2.1001655680549556,-6.044300205232782,-1.7961830852436322,-5.864160983673914,-4.848643022593881,-3.1677023156312436,-1.371658300995385,2.931786781137138,9.446964510481408,6.515177729370366,-7.655269036488868,-0.32580208353026263,12.704553375202122,13.144660605164328,-4.873058667592739,-11.983250051881633,-4.641207641735286,-1.5680059377891515,5.870300292412155
0.72,-17.224801104769842,-20.22292973714406,-20.989007746084123,-22.422598707522592,-12.974096741201171,-10.038939295335169,-6.699080309291103,-1.194153931503433,-2.830303877715333,-6.899679099222636,-1.8543546872846295,-5.74347655106717,-4.557822948738777,-3.2403461854690354,-1.067607692245028,-3.353067777060435,2.999267107954447,6.3523348850411026,1.8534342229719991,-6.529235219563796,6.175434550511586,14.327473522031095,-12.441365439559561,-21.01301082181675,-14.6298426328462,-10.389602795261492,-1.9988172053177893
0.722,-18.580506426676866,-21.48399831913175,-22.43372639055042,-23.63384002464069,-13.846622986320885,-10.976542022379801,-7.455506492044663,-1.6320766725982667,-3.3294595417774273,-7.503135561344047,-1.7445195356394865,-5.517756744804977,-4.287986342947576,-3.1660208744579093,-0.700549878826251,-8.79784025655485,-2.8384380596914176,5.95940219688978,10.217059286289166,-11.777541354983137,0.14126303879111513,15.270292236669738,-19.53952588127303,-29.472728446001653,-24.05841655333355,-18.71105863615338,-9.397587438833488
0.724,-19.37525775540676,-22.023903569387123,-23.15733166271012,-24.12416105198752,-14.278470366761054,-11.353247415299007,-7.6911728084387345,-1.6292109462182713,-3.388002811943623,-7.626035808975233,-1.3142020475813245,-5.091676052944303,-4.058176883230439,-2.8113435810070517,-0.2133022770811921,-13.672531139352378,-8.05615143258594,5.616379706792922,17.700606855533803,-16.48072099273282,-5.247961579150798,16.27311735360232,-26.03754037363556,-37.23240357719476,-32.61693037191617,-26.282374506464006,-16.116011116789092
0.726,-20.170009084136982,-22.56380881964272,-23.88093693487012,-24.61448207933455,-14.710317747201401,-11.72995280821837,-7.926839124832902,-1.626345219838275,-3.446546082109843,-7.748936056606471,-0.8838845595229854,-4.665595361083453,-3.828367423513207,-2.456666287556048,0.2739453246640673,-18.2771409114408,-12.503873455167044,5.773267456300384,24.529077638912632,-21.163774639575568,-9.61723972697714,17.17594947638738,-31.89540930792553,-44.19203687477466,-40.155385062150785,-32.87355145658488,-21.954088955247922
0.728,-20.964760412866877,-23.103714069898093,-24.604542207029823,-25.104803106681377,-15.14216512764157,-12.106658201137575,-8.162505441226973,-1.62347949345828,-3.505089352276039,-7.871836304237657,-0.4535670714648232,-4.239514669222778,-3.59855796379607,-2.1019889941051906,0.7611929264091262,-22.931670062739,-16.72160457612535,6.210065486640417,31.29247235068985,-26.036702806044378,-13.616571832764418,18.498789207576074,-36.74313308574405,-50.11162900464108,-46.773781602315694,-38.4545905412053,-26.68182167762684
0.73,-21.698836920392136,-23.6132075825606,-25.267479768414464,-25.57993890234398,-15.528528717132984,-12.46812003888005,-8.322417589515267,-1.5750887035497354,-3.6089942594704048,-7.964452198811367,-0.06861068982039631,-3.8133798081187473,-3.3687420475195653,-1.68674767381769,1.2333255895969435,-27.81611908704625,-20.889345248348334,6.926773838724826,38.26079171110847,-31.279506006394435,-17.425958328944194,19.801637148668497,-41.110712118960485,-55.481180639114996,-53.022120975293845,-43.67549281921757,-30.95921001464027
0.732,-22.24892734800885,-24.030482671306242,-25.746452811059484,-26.009028064582097,-15.776970443322892,-12.783358387122808,-8.252618102074951,-1.3886508982588004,-3.8504506189690164,-7.965235941415499,0.17879584851723923,-3.3870806879941417,-3.138906552824753,-1.0878562387077362,1.6596247713172478,-31.720488481991215,-24.517095928864087,7.203392553154181,43.97903644631121,-35.322184758554684,-20.915399652244293,20.724493900070268,-45.33814682965692,-60.56069245683798,-58.980404168455415,-48.65625935362174,-35.03625470424384
0.734,-22.799017775625334,-24.44775776005171,-26.22542585370431,-26.438117226820037,-16.0254121695127,-13.098596735365437,-8.182818614634662,-1.202213092967942,-4.091906978467528,-7.966019684019631,0.4262023868547731,-2.960781567869711,-2.9090710581300354,-0.4889648035980281,2.085923953037377,-34.28477874898064,-27.63485707878472,6.649921670223122,48.10220728826086,-37.6097395840792,-24.309896243629495,21.397360061049287,-49.21543765007152,-65.2101651426707,-64.40863217353989,-53.10689121143015,-38.69295649157769
0.736,-23.349108203242043,-24.865032848797348,-26.70439889634933,-26.86720638905815,-16.273853895702604,-13.413835083608197,-8.113019127194347,-1.015775287677007,-4.33336333796614,-7.9668034266237635,0.6736089251924086,-2.5344824477451056,-2.679235563435223,0.10992663151192605,2.5122231347576816,-36.378990393147745,-30.942629163249368,5.436361229925732,51.8503049746602,-39.097171008098236,-28.224448548241885,21.890236229692796,-52.72258502254069,-69.28959938759078,-69.13680598653771,-56.91738946357153,-41.85931612890942
0.738,-23.852714679602236,-25.291505996142305,-27.16473637704549,-27.277704037847354,-16.52225070114899,-13.729008019419322,-8.080301375413272,-0.8571107887970933,-4.611914949837125,-7.976861727069712,0.9024827682340208,-2.1545553778334066,-2.477239427668797,0.6624231902770442,2.9385354986920054,-38.43312392330035,-34.090412651366854,4.342711271960997,55.47833024887146,-40.60447955926911,-31.919057015340805,22.603123002864574,-55.65958939944025,-72.80899588858972,-73.03492660757136,-60.02775518479481,-44.36533437557665
0.74,-24.097109740501278,-25.769270862987018,-27.521155187747624,-27.584528647095723,-16.77039701219534,-14.043816191726183,-8.25436486593648,-0.8533203458494479,-5.097323178120823,-8.038638334608383,1.028011563143238,-2.033215722472716,-2.4304856806904445,0.9562050476795649,3.364921371446387,-40.23717985186867,-36.628208016157984,3.608971835738331,58.55128385983527,-42.041665769726734,-34.82372209824235,23.416020976162468,-58.12645124312536,-75.77835534856919,-76.1729950407762,-62.47798945357273,-46.29101199792936
0.742,-24.34150480140022,-26.24703572983153,-27.87757399844961,-27.891353256343965,-17.018543323241587,-14.358624364032915,-8.428428356459618,-0.8495299029018041,-5.5827314064043225,-8.100414942147026,1.1535403580524037,-1.9118760671120756,-2.3837319337121117,1.249986905081965,3.791307244200593,-41.70115869485291,-38.68601573449754,3.0151429603831734,61.04416656198922,-43.208730175034056,-37.17844425425856,24.508930743876086,-59.87317102586952,-77.98767847623662,-78.48101229418054,-64.068093352005,-47.50634976927174
0.744,-24.585899862299264,-26.724800596676243,-28.233992809151744,-28.19817786559233,-17.26668963428794,-14.673432536339774,-8.602491846982826,-0.8457394599541587,-6.068139634688022,-8.162191549685696,1.279069152961621,-1.7905364117513853,-2.33697818673376,1.5437687624844858,4.217693116954974,-43.02506097177052,-40.61383628705582,2.4112246847426695,63.331979115185916,-44.230673314132105,-39.40822394463618,25.64185289894476,-61.03974922980241,-79.66696598599997,-80.35897937958563,-65.17806796572127,-48.30134846980389
