,A1,A2,A3,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
11040,-76.79637984858226,-74.09127285135375,2.705106997173224,113.84201627427709,-78.14893334718113,-72.73871935279168,72.13682464214627,-1.438547526866989,-397.4436380755399,-52.99043445814692,-94.12539362416666,-89.21081920778519
11041,-73.7403467300855,-74.16532619876975,-0.4249794687395754,110.823009829488,-73.52785699572847,-74.37781593316316,75.21717523795846,15.936518760908303,-381.28376412601364,-39.996417974727706,-84.54752190713178,-83.62889166540661
11042,-67.75460204888334,-72.76947221870554,-5.014870169877574,104.13933815825342,-65.24716696395784,-75.27690730366702,77.38705780420766,37.25966207896059,-360.11204339788117,-21.863969629047865,-69.86981595398053,-73.4872540657572
11043,-57.55914543609213,-67.82370947350825,-10.264564037471516,91.47100017286327,-52.4268634173702,-72.95599149226574,78.47646987806522,61.60087808905833,-333.6183765931569,2.1669078218545543,-48.64227475833317,-57.09590614595789
11044,-41.513976511267686,-58.178036517181866,-16.66406000596963,70.60299476987534,-33.181946508297244,-66.51006652018748,76.3654090055994,87.96016251738122,-302.02266524398783,32.94621167485943,-18.974897305759058,-32.294847631094314
11045,-17.789094882375288,-43.082451895416135,-25.29335701309634,39.33032083009981,-5.142416375842067,-55.72913040198417,71.00387274192872,114.8575111549594,-265.3648117199993,71.12393928109353,21.162317426203224,3.4559217658164965
11046,15.135499854239844,-21.76695414561562,-36.90245399991101,-4.252022781415841,33.58672685417979,-40.218181145590066,61.771858651375254,140.16291985811174,-224.4447192356364,116.79008804625875,73.22937046802551,52.22640234385909
11047,58.809808113882085,6.7184582030708615,-52.0913499108668,-62.1690372154016,84.85548306929928,-19.32721675238055,44.71936430761832,160.39638454888333,-182.05229185750193,168.62465543095945,137.2262628581694,115.10659441425253
11048,113.8338303235345,43.273786629720504,-70.56004369386964,-135.47072363837913,149.11385217045253,7.993764782768585,20.266387293847977,172.65790121548213,-138.9774345116906,226.1776389510292,213.99299564306529,193.3464983003827
11049,179.34756692188805,88.0790326216065,-91.26853430033727,-223.38708323267593,224.9818340720393,42.444765471421626,-12.9070747970811,174.19746591271468,-97.38005299111876,287.8590361778565,302.4995698770913,286.43611433783474
11050,252.72101835937013,140.8041976741676,-111.91682068525833,-323.12311719643895,308.67942870198124,84.84578733152306,-52.931024362495734,161.81507476242095,-59.90005396284951,350.8888447387098,400.31598662255124,392.2954428744255
11051,330.4941850981732,200.3892832909775,-130.10490180725157,-430.6888267436472,395.54663600178026,135.3368323873372,-101.04546378975044,131.6707239539083,-31.277344975413193,410.79706231706183,502.8222469496536,506.8244842702344
11052,408.61706761228294,263.82429098371387,-144.79277662862506,-540.5292131041255,481.0134559265761,191.42790266938772,-153.96039545607317,82.37440974438447,-14.57183446612249,463.2736866529127,604.648351936489,624.5832388976361
11053,482.63966638750674,327.3592222721272,-155.28044411543567,-646.3192775235561,560.2798884452046,249.71900021439652,-210.01582172841128,13.906128459389627,-12.853431768382164,503.81871554311266,699.6343026690078,738.9717071413313
11054,547.601981921501,387.5040786840089,-160.09790323754837,-741.3540212634917,627.6509335402548,307.45512706522265,-266.19174496327736,-72.61412350677264,-28.352047118992967,528.2521468416833,780.8101002409977,842.3198893983781
11055,598.1240147237993,440.80886175515985,-157.31515296869588,-818.528445601366,676.7815912081263,362.15128527080054,-318.2081675065947,-174.2763496906052,-61.72759166544956,533.3839784601387,841.6657457540609,926.7777860782223
11056,629.6557653158393,484.18357302935783,-145.47219228653805,-871.7475518305052,702.3918614590872,411.44747688607816,-365.6950916935434,-288.090553558988,-114.39997747323197,515.8342083678051,875.2712403175907,984.5653976027288
11057,638.5672342309903,514.4082140583254,-124.1590201727217,-895.7713412601405,700.6467443173298,452.3287039719545,-402.69251984840554,-409.2267385087506,-184.27911753309033,474.8328345921399,877.9765850487481,1010.6427244062116
11058,623.3084220145797,528.5927864016967,-94.71563561294016,-887.6048152154159,670.6662398210283,481.2349685952172,-428.5504542844107,-533.2349078662446,-270.92492576832285,409.40985521904946,846.5217810724384,1001.1797669354639
